Ambient_Temperature_C,Age_yr,Maintenance_Count,No_of_Short_Circuits,Outages_hours_per_year,Current_A,Voltage_kV,Predicted_Hot_Spot_Temperature,Predicted_Acidity,Predicted_Moisture_Content,Predicted_Breakdown_Voltage,Predicted_Oil_Health_Score,Predicted_H2_ppm,Predicted_CH4_ppm,Predicted_C2H4_ppm,Predicted_C2H6_ppm,Predicted_C2H2_ppm,Predicted_CO_ppm,Predicted_CO2_ppm,Score_Ambient_Temp,Score_Age,Score_Maintenance,Score_ShortCircuit,Score_Hotspot,Score_Acidity,Score_Moisture,Score_BDV,Score_Oil,Score_H2,Score_CH4,Score_C2H4,Score_C2H6,Score_C2H2,Score_CO,Score_CO2,Health_Index,
31.77,29,4,2,79.85,85.09,10.89,42.47946548,0.725144207,30.35222244,38.30398941,55.18391418,136.9947205,70.93979645,25.60488319,47.57190704,49.64603806,602.8549194,3075.963623,2,3,3,2,1,4,4,3,3,2,2,1,1,3,3,2,50.33,
33.41,29,4,2,79.85,266.42,11.25,42.92925644,0.722447872,30.31269264,37.17910767,52.99171829,123.7818298,64.18788147,27.70775604,45.69610596,51.91738129,534.5582886,3162.845947,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
21.02,29,4,2,79.85,278.27,11.15,39.91214371,0.727217734,30.46042061,38.06151581,53.61209106,125.1646881,70.36865234,26.38000488,38.620327,52.81191254,532.8587646,3045.760742,1,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,53,
23.75,29,4,2,79.85,176.07,11.16,39.95331573,0.722225785,30.66056252,38.49261093,53.37288284,116.0555038,54.86275482,24.1602478,40.8993454,50.63464355,516.4468384,3127.09082,1,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,53,
33.64,29,4,2,79.85,207.6,10.35,45.49962234,0.726444781,30.32055664,38.73134232,53.1262207,130.7890625,68.4148941,34.38897324,43.84923172,49.82056046,558.8956299,3147.785645,2,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,51.33,
25.03,29,4,2,79.85,236.41,10.85,40.24891663,0.72451669,30.36300087,37.73417282,54.15916443,122.7630692,53.65372086,26.95124245,46.9951973,51.57794952,523.9500122,3170.732178,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
38.63,29,4,2,79.85,185.05,11.1,49.69791031,0.730228782,28.94893646,38.56832504,51.07071686,114.9569626,86.5104599,41.37504578,50.27449417,54.70578766,551.6488037,3108.996094,3,3,3,2,1,4,3,3,3,2,2,1,1,4,2,2,49,
27.1,29,4,2,79.85,228,11.44,40.35696793,0.718799591,29.53480911,38.11698151,52.88073349,115.9014282,45.41265869,19.6528759,43.16675568,52.26654434,562.463501,3126.706055,2,3,3,2,1,4,3,3,3,2,1,1,1,4,2,2,53.67,
27.21,29,4,2,79.85,239.06,10.65,40.55146027,0.724203765,30.4293251,38.85692596,52.83528137,132.2277527,67.32419586,27.05317688,43.99214172,51.10723495,521.7060547,2982.66333,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
29.91,29,4,2,79.85,207.19,10.81,42.57722855,0.720932245,30.21261406,38.05673599,53.6422348,113.0986938,65.72032928,26.19888878,44.02871704,54.53089905,544.1370239,3159.468018,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
33.43,29,4,2,79.85,289.98,11.31,43.23385239,0.73058331,30.35851669,39.02713013,51.58893967,135.5342865,64.29489899,23.47945404,39.6098175,49.56949997,500.7128296,3114.302002,2,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,51.33,
29.73,29,4,2,79.85,231.39,11.56,40.95812607,0.724270284,29.88064957,38.6677742,55.06586838,116.5032806,64.40046692,26.33473206,42.12539291,50.89698029,525.8494263,3056.264893,2,3,3,2,1,4,3,3,3,2,2,1,1,4,2,2,52.33,
27.45,29,4,2,79.85,256.68,10.77,39.8296814,0.722851872,30.78536415,37.57404709,51.70926285,114.1895142,57.27014542,22.76545715,45.19595337,53.47484589,502.1239319,3036.981689,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
35.54,29,4,2,79.85,168.04,11.1,47.02368164,0.735090375,30.79817772,38.40192413,51.95313644,120.1203232,71.66636658,41.34605026,46.63174057,51.70480347,578.7661133,3039.031738,3,3,3,2,1,4,4,3,3,2,2,1,1,4,3,2,45.33,
30.81,29,4,2,79.85,182.59,11.27,41.62601852,0.71933645,29.29367447,38.43263626,55.19045639,121.0789642,58.75774384,28.41006088,50.81930542,49.98326111,518.3158569,3009.903076,2,3,3,2,1,4,3,3,3,2,2,1,1,3,2,2,54,
26.7,29,4,2,79.85,256.06,10.94,40.16671371,0.722061753,30.71162033,37.99287796,54.071064,123.0418625,59.28327942,24.44202614,50.6310997,52.953228,522.9190063,3038.003174,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
27.48,29,4,2,79.85,171.16,10.79,39.97806168,0.72050041,30.06920433,37.81578827,54.65766144,126.7308197,63.95808029,27.63639641,44.84820175,52.68322754,506.9542542,2951.470703,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
33.64,29,4,2,79.85,171.27,11.21,44.67321396,0.726445735,30.70425606,37.47757339,50.05863953,138.2825012,63.30978775,33.26024628,44.85652542,49.55358124,566.4017944,3214.739746,2,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,51.33,
25.78,29,4,2,79.85,238.06,10.46,40.48617172,0.721451104,30.50111961,38.14068985,51.60153961,140.8238373,62.43637466,21.04426384,42.05557632,50.05913925,540.156189,2941.450439,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
38.04,29,4,2,79.85,302.92,10.88,48.99184418,0.728380084,31.40124512,38.26116943,51.58010864,130.874176,81.02702332,36.85431671,42.460495,49.15098953,556.8853149,3351.712646,3,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,48,
36.54,29,4,2,79.85,174.25,11.09,49.2273941,0.733669996,30.26463318,38.4720459,51.29068375,125.7110291,71.26081085,38.2766571,51.74820709,50.31093979,565.369873,3256.876709,3,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,46.33,
30.81,29,4,2,79.85,193.35,10.1,42.57540894,0.721506,30.78203583,38.78629303,54.6344986,115.7133255,73.23395538,20.02803993,43.26477051,50.39021301,566.5274658,3067.684814,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
28.91,29,4,2,79.85,221.75,10.54,40.34307098,0.721318543,30.4093647,38.73711395,53.33725739,125.3090134,64.39517212,21.80092621,40.06759262,50.27020645,492.8859863,3273.682373,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
28.77,29,4,2,79.85,221.76,11.4,40.65097427,0.723830223,30.27612877,38.09176636,52.93506622,126.336113,56.12850952,25.25629997,41.43321609,54.96063614,530.9690552,2885.530273,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
29.35,29,4,2,79.85,187.87,11.8,39.7153244,0.727437377,30.40675735,37.74438858,51.63144302,115.821579,67.16801453,17.744133,45.72528839,53.98659134,509.739624,2972.830322,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
41.09,29,4,2,79.85,229.72,9.99,52.18619919,0.730909109,30.35807037,38.69797516,51.95082855,141.494751,73.19581604,42.20521164,46.06917191,55.84448242,534.3135986,3309.688965,3,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,46.33,
29.42,29,4,2,79.85,172.62,10.67,40.13251495,0.71571058,30.80518532,37.629673,53.41179276,124.2024002,73.49674225,25.92158318,41.93843842,51.15986633,537.399231,3058.944824,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
32.24,29,4,2,79.85,178.07,11.27,42.5104599,0.718320131,29.66616249,37.098629,53.76684952,127.7063065,69.44255829,33.06219101,46.12908936,49.30418777,542.1329346,3076.612305,2,3,3,2,1,4,3,3,3,2,2,1,1,3,2,2,54,
21.21,29,4,2,79.85,107.67,11.06,40.03491592,0.741428256,29.9419117,37.35963058,52.76089859,123.8728867,66.02613068,24.73307037,41.08311844,51.94818497,567.6608276,3071.806152,1,3,3,2,1,4,3,3,3,2,2,1,1,4,2,2,55.67,
31.33,29,4,2,79.85,118.85,10.99,42.35913467,0.715179086,30.63549995,37.55202103,51.86879349,112.5840912,67.26856232,19.91292953,39.55854416,53.15282059,536.6176147,3123.343506,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
31.58,29,4,2,79.85,235.48,11.29,42.57814789,0.720547855,29.65157318,37.31487656,52.47118759,109.9300537,54.90641403,27.89808464,41.40301514,51.26980972,509.3674622,3112.536133,2,3,3,2,1,4,3,3,3,2,2,1,1,4,2,2,52.33,
32.48,29,4,2,79.85,330.27,10.12,40.73887253,0.723705351,29.73645592,37.5243988,50.05056763,125.7948303,70.96178436,20.06330681,38.91064835,53.71406174,537.7084351,3307.54126,2,3,3,2,1,4,3,3,3,2,2,1,1,4,2,2,52.33,
32.71,29,4,2,79.85,182.93,10.74,44.0071907,0.725307643,31.01243782,38.09837723,52.17437363,119.3910828,65.64575958,33.20704269,45.66108704,49.95576477,543.4467163,2995.632324,2,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,51.33,
22.62,29,4,2,79.85,303.37,10.59,40.02050781,0.718494833,30.72992134,37.54399872,53.46403503,94.50932312,66.35159302,19.6961937,39.04325485,47.31684875,561.4342041,3072.28125,1,3,3,2,1,4,4,3,3,1,2,1,1,3,2,2,56,
29.81,29,4,2,79.85,226.65,11.09,41.85209656,0.723735571,31.02046967,38.01780701,52.40452957,116.0846405,62.89029694,26.0688591,43.96211243,50.06626511,543.0776978,2964.812256,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
25.59,29,4,2,79.85,177.92,10.62,40.17245483,0.719537139,31.51744843,37.67107773,52.85797119,116.948143,62.24185562,24.36429024,42.04182816,51.41529083,556.9567871,3249.752441,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
30.92,29,4,2,79.85,202.41,10.6,41.69393158,0.726093054,30.99630547,37.99479294,51.53475571,130.4745636,70.76346588,28.21892929,42.9490242,51.8393898,569.6591187,3053.962646,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
26.24,29,4,2,79.85,172.55,11.43,40.32852554,0.713585258,31.00034904,37.94639587,52.93782043,129.7430725,78.36977386,22.92908669,45.6569252,50.197258,551.0733032,3133.078613,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
29.17,29,4,2,79.85,217.59,10.63,40.71414185,0.717967272,30.30042648,38.84367752,52.0389061,119.1654358,67.09024811,20.98340416,44.47551727,47.78673935,519.8716431,3140.347656,2,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,51.33,
42.07,29,4,2,79.85,166.94,10.58,53.31429291,0.73153013,31.07881165,38.74997711,51.20984268,129.8106232,83.46561432,60.16277313,51.53071976,54.40309906,606.6932983,3309.828613,3,3,3,2,1,4,4,3,3,2,2,2,1,4,3,2,44,
29.79,29,4,2,79.85,185.16,11.45,40.96197891,0.725422502,30.38807297,37.84894562,53.58579636,122.9078064,59.58949661,20.96521759,46.51042557,53.95676804,507.6744385,3156.055664,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
31.75,29,4,2,79.85,191.2,11.61,42.81964111,0.721679986,29.99116898,37.56987762,54.50424194,121.7033157,63.32261658,32.93457794,48.45877457,51.79492188,542.8451538,2969.330078,2,3,3,2,1,4,3,3,3,2,2,1,1,4,2,2,52.33,
31.93,29,4,2,79.85,171.25,10.09,41.52720642,0.725235343,30.46489525,38.05366516,53.65550232,140.0170746,73.01799774,30.19690323,34.14141464,49.99126816,551.2091064,3177.831055,2,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,51.33,
37.5,29,4,2,79.85,208.9,11.14,49.08476639,0.736894608,31.53403854,38.30861282,54.91649246,121.5376205,73.00498199,35.40491486,45.86700439,58.32977295,565.2233276,3397.313965,3,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,46.33,
35.76,29,4,2,79.85,202.84,11.05,46.39749908,0.731613874,29.62742615,38.54410553,51.3822403,122.2926788,64.25899506,31.61244202,45.7650528,50.55155945,532.3759155,3195.108398,3,3,3,2,1,4,3,3,3,2,2,1,1,4,2,2,49,
33.27,29,4,2,79.85,203.8,10.93,44.41801453,0.722737789,31.44549942,38.28781128,53.75003433,123.657486,64.54221344,32.28580856,48.08214951,53.94337463,523.2506104,3116.212646,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
23.38,29,4,2,79.85,172.57,10.34,39.45449829,0.721650422,30.20684433,37.11669159,52.59468842,126.208931,63.34474945,21.36665726,45.13378906,50.87514877,530.3668213,2935.323975,1,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,53,
23.52,29,4,2,79.85,178.48,10.68,40.43809891,0.714834988,30.33245659,37.51181793,52.08433914,127.6832733,69.49599457,15.98206139,40.03275299,50.99340057,541.7454834,3095.214355,1,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,53,
31.01,29,4,2,79.85,169.9,10.44,41.77138901,0.72232455,30.3776989,37.77338028,52.93209839,125.6019287,59.25843811,28.04874992,45.21374893,50.51795578,540.079834,3077.075684,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
28.69,29,4,2,79.85,152.85,11.8,40.70888138,0.726933658,31.49437332,38.29509735,53.84345627,116.4615402,64.82039642,24.31582451,42.68822479,50.71128464,523.0352783,3111.80127,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
36.43,29,4,2,79.85,149.43,11.33,48.36639404,0.724292397,29.30039406,38.39044189,52.18297577,115.7508698,81.91706848,35.71848679,48.70080566,53.14857864,582.4981689,3107.443115,3,3,3,2,1,4,3,3,3,2,2,1,1,4,3,2,48,
31.64,29,4,2,79.85,247.4,10.78,41.84923553,0.721038997,30.14842415,37.37489319,51.82906723,116.213562,53.95900345,23.58493042,46.54440308,49.66764069,520.1223145,3084.191895,2,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,51.33,
34.78,29,4,2,79.85,239.62,10.33,45.24517822,0.726044714,29.75557137,38.70939255,54.07985306,134.3422699,68.63681793,33.21031189,51.51847839,51.17338562,521.7945557,3266.918701,2,3,3,2,1,4,3,3,3,2,2,1,1,4,2,2,52.33,
26.08,29,4,2,79.85,189.2,10.75,40.29673386,0.727468789,30.3507843,38.82764816,53.48626709,123.6570358,58.39621353,27.10940742,43.83982849,51.6571579,518.5363159,3121.446289,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
21.89,29,4,2,79.85,245.5,10.42,40.0023613,0.726255476,30.3375473,38.63687134,54.3037262,122.3127899,71.58750916,18.63088036,44.04434586,47.01908493,533.1295776,2980.641357,1,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,54.67,
24.44,29,4,2,79.85,148.27,11.55,39.91261292,0.717034161,30.17901611,38.27563477,54.91238785,106.7490005,58.43483353,26.04976082,45.63601685,50.65603638,523.5159912,2955.62915,1,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,53,
38.11,29,4,2,79.85,193.32,11.68,50.19419479,0.740249217,30.7148056,37.55146027,47.66260529,123.6391907,67.95349121,39.01958847,44.85138702,54.35958099,587.8884888,3355.614746,3,3,3,2,1,4,4,3,3,2,2,1,1,4,3,2,45.33,
29.51,29,4,2,79.85,160.05,10.74,40.60386276,0.724117815,30.24781799,38.45685959,52.8021431,127.5060349,70.09545135,25.65822601,41.64787674,49.5847702,544.0391235,3094.873291,2,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,51.33,
41.49,29,4,2,79.85,179.84,10.17,53.65382004,0.73335427,30.58654022,38.16311264,51.87228775,118.8712997,102.0447159,56.9286499,47.86283493,52.53510666,624.6181641,3417.923828,3,3,3,2,1,4,4,3,3,2,2,2,1,4,3,2,44,
38.05,29,4,2,79.85,250.92,10.06,48.51893997,0.725266218,30.22004318,37.69581985,51.36445236,121.9648361,62.78735733,37.73657608,43.22953415,56.85467911,551.541748,3258.378174,3,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,46.33,
28.38,29,4,2,79.85,216.65,11.49,40.11207199,0.7202667,28.84206009,38.7531395,57.34442902,116.291748,56.2670784,18.75256157,46.12204742,51.15441513,547.6520996,3023.227051,2,3,3,2,1,4,3,3,3,2,2,1,1,4,2,2,52.33,
38.51,29,4,2,79.85,145.3,11.83,50.99870682,0.72373575,31.01649857,38.19176865,50.96968842,141.133606,80.27709198,42.70175171,43.11675644,59.83264542,543.0211182,3257.072754,3,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,46.33,
35.09,29,4,2,79.85,170.88,11.24,45.01582718,0.725287378,29.52536201,37.23631287,51.08492279,137.937851,63.23427582,31.36257362,47.69477844,49.2793541,552.5177002,3123.431152,3,3,3,2,1,4,3,3,3,2,2,1,1,3,2,2,50.67,
36.06,29,4,2,79.85,147.07,10.51,47.70201874,0.724470437,30.43164825,38.1684227,50.90175247,101.9659653,69.29645538,35.08772659,46.8884964,52.80452347,546.4473267,3166.138916,3,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,46.33,
37.31,29,4,2,79.85,227.72,10.74,47.63064194,0.728587508,30.43555641,40.10277557,52.39458466,123.5170059,75.05069733,39.63536835,42.13499451,59.1500206,546.741394,3191.29834,3,3,3,2,1,4,4,2,3,2,2,1,1,4,2,2,48.67,
27.68,29,4,2,79.85,236.19,11.5,39.99771118,0.723607659,30.1029377,38.19295502,55.08544922,113.5525208,53.19327927,17.17333412,41.72970963,51.71175003,544.4547729,3098.604248,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
41.37,29,4,2,79.85,178.09,11.01,50.69623566,0.72974503,30.49396706,37.78542709,51.52436447,120.0017853,83.57292938,41.60726929,48.64315033,58.16904068,586.6984253,3351.21582,3,3,3,2,1,4,4,3,3,2,2,1,1,4,3,2,45.33,
31.29,29,4,2,79.85,181.25,10.4,42.74240875,0.725696325,29.21229172,38.16017532,51.52362061,126.5679703,72.87595367,24.83232689,50.23894882,51.95807266,519.3919678,3033.218506,2,3,3,2,1,4,3,3,3,2,2,1,1,4,2,2,52.33,
34.27,29,4,2,79.85,283.68,9.71,45.69066238,0.729579091,30.35339355,37.35554123,52.55860138,149.4160919,68.20053864,27.85800552,43.80955505,56.62771225,551.0717773,3054.02124,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
35.62,29,4,2,79.85,190.2,11.84,45.18741989,0.730271161,31.14097786,37.79382324,53.39499283,111.6504135,62.90240097,31.81378365,49.13941193,51.82730484,535.7798462,3132.368164,3,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,46.33,
29.38,29,4,2,79.85,164.78,11.3,40.67408752,0.722846627,29.48636055,37.9478569,52.64175797,120.3485413,65.0904007,26.24103546,42.40507126,50.48235703,496.984314,3201.566162,2,3,3,2,1,4,3,3,3,2,2,1,1,4,2,2,52.33,
37.39,29,4,2,79.85,354.63,11.17,46.95593262,0.729627669,30.70452309,39.57376862,54.54661179,143.6823883,70.33689117,31.76817894,54.98683929,56.05909729,569.5940552,3347.945068,3,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,46.33,
27.03,29,4,2,79.85,207.01,9.89,40.37857437,0.723604381,30.88368225,38.35735321,53.526371,117.7721024,47.11131287,20.09111214,48.32078171,50.11824036,561.4100952,3164.986084,2,3,3,2,1,4,4,3,3,2,1,1,1,4,2,2,51,
35.12,29,4,2,79.85,117.98,11.13,46.40711975,0.727642119,30.40608978,36.11552048,51.58495712,128.7197113,71.98600006,34.2794838,42.66555786,52.03100967,530.4486694,3103.019775,3,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,46.33,
29.33,29,4,2,79.85,55.22,12.6,40.88225937,0.722675264,30.83732414,37.91992188,50.51617432,133.3982544,72.77605438,16.00141716,39.70969391,49.77840042,548.913269,2955.94043,2,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,51.33,
33.28,29,4,2,79.85,211.02,11.61,44.09941101,0.723477244,30.91446304,38.03134155,55.09510422,120.0160522,74.19302368,30.83524704,46.37311172,52.84126282,560.1470337,3196.614258,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
27.09,29,4,2,79.85,221.56,10.19,40.00716782,0.721215487,30.07292747,38.93334579,55.56537247,122.0993423,51.95777893,16.76005745,42.91785812,49.46836472,549.4068604,3072.504883,2,3,3,2,1,4,4,3,3,2,2,1,1,3,2,2,51.33,
24.99,29,4,2,79.85,154.54,10.9,39.83650589,0.725074947,30.85810852,37.58433151,54.80221558,129.8256226,52.00600815,25.20740128,45.67935944,51.83280182,525.8341064,3092.027832,1,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,53,
33.73,29,4,2,79.85,164.06,12.14,45.01592255,0.725107849,31.38785934,37.11138153,50.04094696,126.4689102,59.03800583,29.42612648,45.34132767,50.86180878,543.7246094,3318.689453,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
27.03,29,4,2,79.85,148.62,11.11,40.0496788,0.71730423,28.80637741,38.69981384,55.57308578,118.1895142,63.624897,30.3619709,43.53325653,47.55644608,530.6453247,3042.460693,2,3,3,2,1,4,3,3,3,2,2,1,1,3,2,2,54,
37.07,29,4,2,79.85,233.83,11.25,49.37498856,0.731652737,30.50519562,38.5896759,51.48725891,127.9309692,67.24095154,44.29417801,47.35969162,57.95718765,516.8262939,3362.579834,3,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,46.33,
33.81,29,4,2,79.85,214.41,10.68,44.88468933,0.728709936,30.30648804,38.72535324,50.27261353,131.224411,63.58522415,25.87733459,46.03331757,51.00510025,546.7315674,3109.324951,2,3,3,2,1,4,4,3,3,2,2,1,1,4,2,2,49.67,
